15432859;3644269	5;1671523688
1994386;28292287	5;1598957727
1994386;171825202	5;1651306014
1994386;71090269	5;1620816518
15432859;50269974	5;1639308606
15432859;72001058	5;1652554854
15432859;46253704	5;1671523635
15432859;167210780	5;1671523670
1994386;109017987	5;1645370136
15432859;74021318	5;1671523797
1994386;153582	5;1566911635
1994386;6807851	5;1598198806
15432859;84970842	5;1671523858
1994386;49022920	5;1602824197
1994386;71345382	5;1625414298
15432859;85366068	5;1610709052
15432859;143217516	5;1668494438
1994386;27971954	5;1596360535
1994386;195306002	5;1677982646
15432859;54266568	5;1620445204
15432859;100931419	5;1652554875
15432859;55589743	5;1613927394
1994386;238701	5;1593860990
15432859;56218386	5;1613927424
1994386;238695	5;1593864161
15432859;15267828	5;1671523923
1994386;71907877	5;1611991305
15432859;147920904	5;1671523713
1994386;106365091	5;1651068345
15432859;113530807	5;1671523849
15432859;7982627	5;1613927431
16815575;4781791	5;1682167039
16815575;69764536	5;1682485902
16815575;174444165	5;1651496299
16815575;26114400	5;1651496312
16815575;92859699	5;1682166964
16815575;89585119	5;1682166983
16815575;189643110	5;1682166989
16815575;3304877	5;1682167019
16815575;108684606	5;1682166933
16815575;77900447	5;1682166908
16815575;121635155	5;1682166861
16815575;87226759	5;1682485923
16815575;103379149	5;1682485916
16815575;1449791	5;1682485907
16815575;29190891	5;1682166943
16815575;29878198	5;1650578457
16815575;78598428	5;1682166959
16815575;162844704	5;1651496307
16815575;31509727	5;1682166999
16815575;187827005	5;1688137328
16815575;3718337	5;1682167011
16815575;28292287	5;1653224609
16815575;117238178	5;1682167003
16815575;109017987	5;1682167035
16815575;74021318	5;1682167024
16815575;71345382	5;1682167031
16815575;72308266	5;1696082398
16815575;3955615	5;1682167043
16815575;121635153	5;1682166994
16815575;52334805	5;1650578452
16815575;76388963	5;1682485911
16815575;12377499	5;1682166949
16815575;124767706	5;1682166919
16815575;56692533	5;1682166969
16815575;77105731	5;1682166893
22283187;195300882	5;1676901186
22283187;174892984	5;1666187399
22283187;8058965	5;1632491487
22283187;8306289	5;1650688730
22283187;83412141	5;1665715633
22283187;51830751	5;1668212733
22283187;92859699	5;1665715631
22283187;115437042	5;1652079457
22283187;189643110	5;1671943300
22283187;3304877	5;1674923047
22283187;148000104	5;1685788810
22283187;148000104	5;1685788810
22283187;140416372	5;1665715501
22283187;52788073	5;1673063194
22283187;76776246	5;1665715305
22283187;52805061	5;1685788887
22283187;106863965	5;1665715693
22283187;155550593	5;1691133699
22283187;46240930	5;1665715688
22283187;82072619	5;1656639126
22283187;127538916	5;1691133711
22283187;10095277	5;1674923037
22283187;3718337	5;1674923044
22283187;117238178	5;1665715637
22283187;189940725	5;1681465380
22283187;184419726	5;1662546972
22283187;48481764	5;1695999213
22283187;72680633	5;1679832461
22283187;121635153	5;1665715684
22283187;52785565	5;1685788849
22283187;103640414	5;1671943304
22283187;124767706	5;1671943293
22283187;161008718	5;1679832458
22283187;147920904	5;1665715681
1895509;141258641	5;1608833780
1895509;58804369	5;1623949384
1895509;11488924	5;1652966586
1895509;101586495	5;1608833764
1895509;5411129	5;1599132027
9643994;68585577	5;1640167186
1895509;51244266	5;1607361252
1895509;7369225	5;1617635809
1895509;8885996	5;1607152442
9643994;124767705	5;1687431555
9643994;185067343	5;1688038354
